Speed

Station: 4948 speed scores and cummulative difference from calculated score
Entry,4948-1,4948-2,4948-3,Calc'd Score,4948-1 Diff,4948-2 Diff,4948-3 Diff
1449 DDSR_F_11-12 ,155,156,156,156.0,1.0,0.0,0.0
1490 DDSR_X_16+ (allow younger) ,180,181,180,180.0,0.0,1.0,0.0
1466 DDSR_F_12-15 ,152,155,148,153.5,1.5,1.5,5.5
1483 DDSR_F_16+ (allow younger) ,361,361,361,361.0,0.0,0.0,0.0
1461 DDSR_M_11-12 ,130,130,130,130.0,0.0,0.0,0.0
1478 DDSR_M_12-15 ,109,109,111,109.0,0.0,0.0,2.0

Station: 5108 speed scores and cummulative difference from calculated score
Entry,5108-1,5108-2,5108-3,5108-4,Calc'd Score,5108-1 Diff,5108-2 Diff,5108-3 Diff,5108-4 Diff
1893 DDSR_F_16+ (allow younger) ,373,373,371,373,373.0,0.0,0.0,2.0,0.0
1932 DDSR_X_16+ (allow younger) ,225,225,225,225,225.0,0.0,0.0,0.0,0.0

Station: 5119 speed scores and cummulative difference from calculated score
Entry,5119-1,5119-2,5119-3,Calc'd Score,5119-1 Diff,5119-2 Diff,5119-3 Diff
892 SRTU_F_15+ (S) ,26,26,26,26.0,0.0,0.0,0.0
901 SRTU_M_15+ (S) ,67,67,65,67.0,0.0,0.0,2.0

Station: 4947 speed scores and cummulative difference from calculated score
Entry,4947-1,4947-2,4947-3,Calc'd Score,4947-1 Diff,4947-2 Diff,4947-3 Diff
435 SRSE_F_15 (S) ,339,336,339,339.0,0.0,3.0,0.0
875 SRSE_M_17-29 ,402,402,407,402.0,0.0,0.0,5.0
427 SRSE_F_15 (S) ,281,280,282,281.5,0.5,1.5,0.5
463 SRSE_F_18 (S) ,438,437,438,438.0,0.0,1.0,0.0
791 SRSE_M_14 (S) ,319,318,321,318.5,0.5,0.5,2.5
776 SRSE_M_13 (S) ,379,377,381,380.0,1.0,3.0,1.0
363 SRSE_F_12 (S) ,321,321,321,321.0,0.0,0.0,0.0
773 SRSE_M_12 (S) ,335,335,335,335.0,0.0,0.0,0.0
334 SRSE_F_11 (S) ,343,343,347,343.0,0.0,0.0,4.0
370 SRSE_F_12 (S) ,350,350,350,350.0,0.0,0.0,0.0
309 SRSE_F_11 (S) ,334,334,335,334.0,0.0,0.0,1.0
759 SRSE_M_11 (S) ,302,303,302,302.0,0.0,1.0,0.0
799 SRSE_M_30-49 ,241,239,238,238.5,2.5,0.5,0.5
312 SRSE_F_11 (S) ,346,343,343,343.0,3.0,0.0,0.0
458 SRSE_F_17 (S) ,275,274,285,274.5,0.5,0.5,10.5
404 SRSE_F_13 (S) ,268,267,274,267.5,0.5,0.5,6.5
415 SRSE_F_14 (S) ,353,352,353,353.0,0.0,1.0,0.0
494 SRSE_F_50+ ,0,0,0,0.0,0.0,0.0,0.0
489 SRSE_F_40-49 ,344,343,339,343.5,0.5,0.5,4.5
388 SRSE_F_13 (S) ,241,237,241,241.0,0.0,4.0,0.0
371 SRSE_F_12 (S) ,320,317,317,317.0,3.0,0.0,0.0
414 SRSE_F_14 (S) ,382,379,379,379.0,3.0,0.0,0.0
320 SRSE_F_11 (S) ,310,309,308,309.5,0.5,0.5,1.5

Station: 4941 speed scores and cummulative difference from calculated score
Entry,4941-1,4941-2,4941-3,Calc'd Score,4941-1 Diff,4941-2 Diff,4941-3 Diff
481 SRSE_F_20-29 ,387,387,387,387.0,0.0,0.0,0.0
782 SRSE_M_13 (S) ,332,332,333,332.0,0.0,0.0,1.0
452 SRSE_F_17 (S) ,444,444,444,444.0,0.0,0.0,0.0
352 SRSE_F_12 (S) ,326,334,329,327.5,1.5,6.5,1.5
429 SRSE_F_15 (S) ,352,355,355,355.0,3.0,0.0,0.0
387 SRSE_F_13 (S) ,398,398,398,398.0,0.0,0.0,0.0
401 SRSE_F_13 (S) ,234,235,233,234.5,0.5,0.5,1.5
449 SRSE_F_17 (S) ,340,340,337,340.0,0.0,0.0,3.0
422 SRSE_F_14 (S) ,291,292,289,291.5,0.5,0.5,2.5
443 SRSE_F_16 (S) ,316,319,314,315.0,1.0,4.0,1.0
308 SRSE_F_11 (S) ,305,303,304,304.5,0.5,1.5,0.5
329 SRSE_F_11 (S) ,369,371,369,369.0,0.0,2.0,0.0
325 SRSE_F_11 (S) ,335,342,334,334.5,0.5,7.5,0.5
762 SRSE_M_11 (S) ,269,269,233,269.0,0.0,0.0,36.0
357 SRSE_F_12 (S) ,307,306,307,307.0,0.0,1.0,0.0
349 SRSE_F_12 (S) ,250,253,250,250.0,0.0,3.0,0.0
335 SRSE_F_11 (S) ,294,296,294,294.0,0.0,2.0,0.0
392 SRSE_F_13 (S) ,394,394,394,394.0,0.0,0.0,0.0
487 SRSE_F_30-39 ,307,286,305,306.0,1.0,20.0,1.0
793 SRSE_M_15-16 ,387,388,387,387.0,0.0,1.0,0.0
372 SRSE_F_12 (S) ,280,286,279,279.5,0.5,6.5,0.5

Station: 4945 speed scores and cummulative difference from calculated score
Entry,4945-1,4945-2,4945-3,Calc'd Score,4945-1 Diff,4945-2 Diff,4945-3 Diff
428 SRSE_F_15 (S) ,391,391,389,391.0,0.0,0.0,2.0
488 SRSE_F_30-39 ,236,235,236,236.0,0.0,1.0,0.0
383 SRSE_F_13 (S) ,279,280,278,279.5,0.5,0.5,1.5
353 SRSE_F_12 (S) ,367,367,364,367.0,0.0,0.0,3.0
758 SRSE_M_11 (S) ,272,270,270,270.0,2.0,0.0,0.0
785 SRSE_M_14 (S) ,307,307,307,307.0,0.0,0.0,0.0
375 SRSE_F_12 (S) ,318,318,317,318.0,0.0,0.0,1.0
419 SRSE_F_14 (S) ,378,377,378,378.0,0.0,1.0,0.0
477 SRSE_F_20-29 ,354,346,354,354.0,0.0,8.0,0.0
445 SRSE_F_17 (S) ,404,404,404,404.0,0.0,0.0,0.0
495 SRSE_F_50+ ,306,305,306,306.0,0.0,1.0,0.0
460 SRSE_F_18 (S) ,373,373,373,373.0,0.0,0.0,0.0
344 SRSE_F_11 (S) ,270,271,269,270.5,0.5,0.5,1.5
441 SRSE_F_16 (S) ,458,458,457,458.0,0.0,0.0,1.0
467 SRSE_F_19 ,392,392,392,392.0,0.0,0.0,0.0
411 SRSE_F_14 (S) ,354,354,354,354.0,0.0,0.0,0.0
391 SRSE_F_13 (S) ,292,290,292,292.0,0.0,2.0,0.0
769 SRSE_M_12 (S) ,377,380,378,377.5,0.5,2.5,0.5
328 SRSE_F_11 (S) ,306,305,306,306.0,0.0,1.0,0.0
774 SRSE_M_13 (S) ,345,346,346,346.0,1.0,0.0,0.0
377 SRSE_F_12 (S) ,267,264,267,267.0,0.0,3.0,0.0
399 SRSE_F_13 (S) ,387,387,387,387.0,0.0,0.0,0.0
426 SRSE_F_15 (S) ,312,314,317,313.0,1.0,1.0,4.0
763 SRSE_M_11 (S) ,339,338,339,339.0,0.0,1.0,0.0

Station: 4949 speed scores and cummulative difference from calculated score
Entry,4949-1,4949-2,4949-3,Calc'd Score,4949-1 Diff,4949-2 Diff,4949-3 Diff
341 SRSE_F_11 (S) ,278,281,275,279.5,1.5,1.5,4.5
384 SRSE_F_13 (S) ,308,308,308,308.0,0.0,0.0,0.0
398 SRSE_F_13 (S) ,293,292,292,292.0,1.0,0.0,0.0
490 SRSE_F_40-49 ,347,347,348,347.0,0.0,0.0,1.0
434 SRSE_F_15 (S) ,337,336,334,336.5,0.5,0.5,2.5
367 SRSE_F_12 (S) ,323,322,323,323.0,0.0,1.0,0.0
790 SRSE_M_14 (S) ,316,316,302,316.0,0.0,0.0,14.0
358 SRSE_F_12 (S) ,294,294,292,294.0,0.0,0.0,2.0
438 SRSE_F_16 (S) ,372,374,373,373.5,1.5,0.5,0.5
359 SRSE_F_12 (S) ,345,345,345,345.0,0.0,0.0,0.0
451 SRSE_F_17 (S) ,381,380,380,380.0,1.0,0.0,0.0
795 SRSE_M_15-16 ,376,375,375,375.0,1.0,0.0,0.0
416 SRSE_F_14 (S) ,365,365,365,365.0,0.0,0.0,0.0
498 SRSE_F_50+ ,252,251,252,252.0,0.0,1.0,0.0
311 SRSE_F_11 (S) ,332,332,331,332.0,0.0,0.0,1.0
462 SRSE_F_18 (S) ,386,386,385,386.0,0.0,0.0,1.0
800 SRSE_M_30-49 ,234,231,234,234.0,0.0,3.0,0.0
780 SRSE_M_13 (S) ,318,318,319,318.0,0.0,0.0,1.0
321 SRSE_F_11 (S) ,384,385,384,384.0,0.0,1.0,0.0
772 SRSE_M_12 (S) ,265,266,265,265.0,0.0,1.0,0.0
756 SRSE_M_11 (S) ,330,330,329,330.0,0.0,0.0,1.0
479 SRSE_F_20-29 ,464,464,463,464.0,0.0,0.0,1.0
380 SRSE_F_13 (S) ,381,381,380,381.0,0.0,0.0,1.0
456 SRSE_F_17 (S) ,255,255,254,255.0,0.0,0.0,1.0
327 SRSE_F_11 (S) ,324,324,324,324.0,0.0,0.0,0.0

Station: 4946 speed scores and cummulative difference from calculated score
Entry,4946-1,4946-2,4946-3,Calc'd Score,4946-1 Diff,4946-2 Diff,4946-3 Diff
339 SRSE_F_11 (S) ,327,328,323,327.5,0.5,0.5,4.5
313 SRSE_F_11 (S) ,209,214,209,209.0,0.0,5.0,0.0
431 SRSE_F_15 (S) ,361,359,361,361.0,0.0,2.0,0.0
410 SRSE_F_14 (S) ,295,295,291,295.0,0.0,0.0,4.0
361 SRSE_F_12 (S) ,231,239,231,231.0,0.0,8.0,0.0
397 SRSE_F_13 (S) ,399,394,397,398.0,1.0,4.0,1.0
770 SRSE_M_12 (S) ,0,410,413,411.5,411.5,1.5,1.5
386 SRSE_F_13 (S) ,379,379,384,379.0,0.0,0.0,5.0
471 SRSE_F_19 ,409,412,415,413.5,4.5,1.5,1.5
461 SRSE_F_18 (S) ,320,333,321,320.5,0.5,12.5,0.5
346 SRSE_F_12 (S) ,209,215,203,212.0,3.0,3.0,9.0
797 SRSE_M_30-49 ,485,485,485,485.0,0.0,0.0,0.0
343 SRSE_F_11 (S) ,233,233,234,233.0,0.0,0.0,1.0
454 SRSE_F_17 (S) ,364,365,371,364.5,0.5,0.5,6.5
425 SRSE_F_15 (S) ,425,424,429,424.5,0.5,0.5,4.5
777 SRSE_M_13 (S) ,349,348,346,348.5,0.5,0.5,2.5
497 SRSE_F_50+ ,234,233,240,233.5,0.5,0.5,6.5
420 SRSE_F_14 (S) ,369,370,374,369.5,0.5,0.5,4.5
